UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-L2(0),Generic,NI,Passive,CV1-TC49,TC49,CV1TC49,T1-TC-L2(0),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-L2(180),Generic,NI,Passive,CV1-TC35,TC35,CV1TC35,T1-TC-L2(180),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-L1(0),Generic,NI,Passive,CV1-TC49,TC49,CV1TC49,T1-TC-L1(0),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-L1(180),Generic,NI,Passive,CV1-TC28,TC28,CV1TC28,T1-TC-L1(180),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-M0(0),Generic,NI,Passive,CV1-TC37,TC37,CV1TC37,T1-TC-M0(0),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Control,T1,TC,2HCHS(203)-1-TC-M0(180),Generic,NI,Passive,CV1-TC26,TC26,CV1TC26,T1-TC-M0(180)*,,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-R1(0),Generic,NI,Passive,CV1-TC33,TC33,CV1TC33,T1-TC-R1(0),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-R1(180),Generic,NI,Passive,CV1-TC31,TC31,CV1TC31,T1-TC-R1(180),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-R2(0),Generic,NI,Passive,CV1-TC39,TC39,CV1TC39,T1-TC-R2(0),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-R2(180),Generic,NI,Passive,CV1-TC29,TC29,CV1TC29,T1-TC-R2(180),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-M0(90),Generic,NI,Passive,CV1-TC2,TC28,CV1TC2,T1-TC-M0(90),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-M0(270),Generic,NI,Passive,CV1-TC48,TC37,CV1TC48,T1-TC-M0(270),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-M0(90)gap,Generic,NI,Passive,CV1-TC47,TC26,CV1TC47,T1-TC-M0(90)gap,,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Meas,T1,TC,2HCHS(203)-1-TC-A150(0),Generic,NI,Passive,CV1-TC46,TC26,CV1TC46,T1-TC-A150(0),,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Control,T2,TC,2HCHS(203)-1-TC-M0(180),Generic,NI,Passive,CV1-TC26,TC26,CV1TC26,T1-TC-M0(180)*,,,,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Process,T1,H,2HCHS(203)-1,T1,H3-L/N,HC3(HB2/CB1),DAC-HB-SSR-HC3,NI->HC3,H3-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
EXP_H_221104_CV1_A3,EXP_H_221104,Heater,CV1,A3,CVHS8-221031,Process,T2,H,2HCHS(203)-1,T2,H4-L/N,HC4(HB2/CB2),DAC-HB-SSR-HC4,NI->HC4,H4-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
