UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Control,T1,TC,1FC(3)-1-TC-M1(180),TC-K-324,NI,Passive,CV2-TC11,TC67,CV2TC11,T1-TC-M1(180)*,,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,T1,TC,1FC(3)-1-TC-B(0),TC-K-266,NI,Passive,CV2-TC12,TC68,CV2TC12,T1-TC-B(0),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,T2,TC,2HCL(130)-11-TC-T(0),TC-K-13,NI,Passive,CV2-TC15,TC71,CV2TC15,T2-TC-T(0),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,T2,TC,2HCL(130)-11-TC-T(180),TC-K-300,NI,Passive,CV2-TC13,TC69,CV2TC13,T2-TC-T(180),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,T2,TC,2HCL(130)-11-TC-M1(0),TC-K-35,NI,Passive,CV2-TC17,TC73,CV2TC17,T2-TC-M1(0),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Control,T2,TC,2HCL(130)-11-TC-M1(180),TC-K-303,NI,Passive,CV2-TC14,TC70,CV2TC14,T2-TC-M1(180)*,,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,T2,TC,2HCL(130)-11-TC-B(0),TC-K-34,NI,Passive,CV2-TC19,TC75,CV2TC19,T2-TC-B(0),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,T2,TC,2HCL(130)-11-TC-B(180),TC-K-323,NI,Passive,CV2-TC16,TC72,CV2TC16,T2-TC-B(180),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,B1,TC,2HCL(130)-6-TC-T(0),TC-K-321,NI,Passive,CV2-TC21,TC77,CV2TC21,B1-TC-T(0),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,B1,TC,2HCL(130)-6-TC-T(180),TC-K-306,NI,Passive,CV2-TC18,TC74,CV2TC18,B1-TC-T(180),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,B1,TC,2HCL(130)-6-TC-M1(0),TC-K-310,NI,Passive,CV2-TC23,TC79,CV2TC23,B1-TC-M1(0),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Control,B1,TC,2HCL(130)-6-TC-M1(180),TC-K-301,NI,Passive,CV2-TC20,TC76,CV2TC20,B1-TC-M1(180)*,,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,B1,TC,2HCL(130)-6-TC-B(0),TC-K-316,NI,Passive,CV2-TC25,TC81,CV2TC25,B1-TC-B(0),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Meas,B1,TC,2HCL(130)-6-TC-B(180),TC-K-279,NI,Passive,CV2-TC22,TC78,CV2TC22,B1-TC-B(180),,,,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Process,T1,H,1FC(3)-1,T1,H1-L/N,HC9(HB5/CB2),DAC-HB-SSR-HC9,NI->HC9,H1-L/N,T1-H-1FC,6,1.3,0.1,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Process,T2,H,2HCL(130)-11,T2,H2-L/N,HC10(HB5/CB2),DAC-HB-SSR-HC10,NI->HC10,H2-L/N,T2-H-2HCL,6,2.5,0.33,NS
EXP_H_221130_CV2_A1,EXP_H_221130,Heater,CV2,A1,CVHS3-220107,Process,B1,H,2HCL(130)-6,B1,H3-L/N,HC11(HB6/CB2),DAC-HB-SSR-HC11,NI->HC11,H3-L/N,B1-H-2HCL,6,2.5,0.33,NS
