UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-L2(0),Generic,NI,Passive,CV1-TC36,TC36,CV1TC36,T1-TC-L2(0),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-L2(180),Generic,NI,Passive,CV1-TC28,TC28,CV1TC28,T1-TC-L2(180),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-L1(0),Generic,NI,Passive,CV1-TC32,TC32,CV1TC32,T1-TC-L1(0),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-L1(180),Generic,NI,Passive,CV1-TC35,TC35,CV1TC35,T1-TC-L1(180),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-M0(0),Generic,NI,Passive,CV1-TC38,TC38,CV1TC38,T1-TC-M0(0),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Control,T1,TC,2HCHS(203)-1-TC-M0(180),Generic,NI,Passive,CV1-TC31,TC31,CV1TC31,T1-TC-M0(180)*,,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Control,T2,TC,2HCHS(203)-1-TC-M0(180),Generic,NI,Passive,CV1-TC31,TC31,CV1TC31,T1-TC-M0(180)*,,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-R1(0),Generic,NI,Passive,CV1-TC30,TC30,CV1TC30,T1-TC-R1(0),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-R1(180),Generic,NI,Passive,CV1-TC26,TC26,CV1TC26,T1-TC-R1(180),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-R2(0),Generic,NI,Passive,CV1-TC34,TC34,CV1TC34,T1-TC-R2(0),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,TC,2HCHS(203)-1-TC-R2(180),Generic,NI,Passive,CV1-TC29,TC29,CV1TC29,T1-TC-R2(180),,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Meas,T1,PT,2HCHS(203)-PT,Generic,NI,Passive,CVFP-PT-CV-A1,CVFP-PT-CV-A1,CVFP-PT-CV-A1,T1-CVFP-PT-CV-A1,,,,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Process,T1,H,2HCHS(203)-1,T1,H5-L/N,HC5(HB1/CB1),DAC-HB-SSR-HC5,NI->HC5,H5-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
EXP_H_221220_CV1_CVFP_A1,EXP_H_221220,Heater,CV1,A2,CVHS8-221220,Process,T2,H,2HCHS(203)-1,T2,H6-L/N,HC6(HB1/CB2),DAC-HB-SSR-HC6,NI->HC6,H6-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
