Run,Exp Setup - Heater,Zone,Total Zones,0 - Action,0 - t - Value,0 - t - Unit,0 - T - Value,0 - T - Unit,1 - Action,1 - t - Value,1 - t - Unit,1 - T - Value,1 - T - Unit,2 - Action,2 - t - Value,2 - t - Unit,2 - T - Value,2 - T - Unit,3 - Action,3 - t - Value,3 - t - Unit,3 - T - Value,3 - T - Unit,4 - Action,4 - t - Value,4 - t - Unit,4 - T - Value,4 - T - Unit,5 - Action,5 - t - Value,5 - t - Unit,5 - T - Value,5 - T - Unit,6 - Action,6 - t - Value,6 - t - Unit,6 - T - Value,6 - T - Unit,7 - Action,7 - t - Value,7 - t - Unit,7 - T - Value,7 - T - Unit,8 - Action,8 - t - Value,8 - t - Unit,8 - T - Value,8 - T - Unit,9 - Action,9 - t - Value,9 - t - Unit,9 - T - Value,9 - T - Unit,10 - Action,10 - t - Value,10 - t - Unit,10 - T - Value,10 - T - Unit,11 - Action,11 - t - Value,11 - t - Unit,11 - T - Value,11 - T - Unit,12 - Action,12 - t - Value,12 - t - Unit,12 - T - Value,12 - T - Unit,13 - Action,13 - t - Value,13 - t - Unit,13 - T - Value,13 - T - Unit,14 - Action,14 - t - Value,14 - t - Unit,14 - T - Value,14 - T - Unit,15 - Action,15 - t - Value,15 - t - Unit,15 - T - Value,15 - T - Unit,16 - Action,16 - t - Value,16 - t - Unit,16 - T - Value,16 - T - Unit,17 - Action,17 - t - Value,17 - t - Unit,17 - T - Value,17 - T - Unit,18 - Action,18 - t - Value,18 - t - Unit,18 - T - Value,18 - T - Unit,19 - Action,19 - t - Value,19 - t - Unit,19 - T - Value,19 - T - Unit,20 - Action,20 - t - Value,20 - t - Unit,20 - T - Value,20 - T - Unit,21 - Action,21 - t - Value,21 - t - Unit,21 - T - Value,21 - T - Unit
230209TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230209TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230214Q,EXP_H_230214_CV2_A1,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230214Q,EXP_H_230214_CV2_A1,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230214Q,EXP_H_230214_CV2_A1,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230214R,EXP_H_230214_CV2_A2,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230214R,EXP_H_230214_CV2_A2,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230214R,EXP_H_230214_CV2_A2,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230215TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230215TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230215TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230216P,EXP_H_230217_CV2_A1,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,450,C,Hold,48,hr,450,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230216P,EXP_H_230217_CV2_A1,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,450,C,Hold,48,hr,450,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230216P,EXP_H_230217_CV2_A1,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,450,C,Hold,48,hr,450,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230216A,EXP_H_230217_CV2_A2,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,450,C,Hold,48,hr,450,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230216A,EXP_H_230217_CV2_A2,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,450,C,Hold,48,hr,450,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230221TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230221TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230221TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230224TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230224TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230224TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,1,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,1,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,1,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309Q,EXP_H_230310_CV2_A1,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309Q,EXP_H_230310_CV2_A1,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309Q,EXP_H_230310_CV2_A1,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309R,EXP_H_230310_CV2_A2,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309R,EXP_H_230310_CV2_A2,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230309R,EXP_H_230310_CV2_A2,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,1,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,1,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,1,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314P,EXP_H_230217_CV2_A1,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314P,EXP_H_230217_CV2_A1,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314P,EXP_H_230217_CV2_A1,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314A,EXP_H_230217_CV2_A2,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230314A,EXP_H_230217_CV2_A2,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230317TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230317TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230317TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230321TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230321TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230321TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,860,C,Hold,2,hr,860,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230323Q,EXP_H_230310_CV2_A1,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230323Q,EXP_H_230310_CV2_A1,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230323Q,EXP_H_230310_CV2_A1,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230323R,EXP_H_230310_CV2_A2,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230323R,EXP_H_230310_CV2_A2,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230323R,EXP_H_230310_CV2_A2,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230324P,EXP_H_230217_CV2_A1,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230324P,EXP_H_230217_CV2_A1,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230324P,EXP_H_230217_CV2_A1,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230324A,EXP_H_230217_CV2_A2,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230324A,EXP_H_230217_CV2_A2,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,550,C,Hold,48,hr,550,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230328TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230328TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230328TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230330TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230330TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230330TB,EXP_H_221219_CV1_CVFP_A2,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,800,C,Hold,12,hr,800,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230331Q,EXP_H_230310_CV2_A1,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230331Q,EXP_H_230310_CV2_A1,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230331Q,EXP_H_230310_CV2_A1,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230331R,EXP_H_230310_CV2_A2,T2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230331R,EXP_H_230310_CV2_A2,B1,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230331R,EXP_H_230310_CV2_A2,B2,3,Hold,10,sec,20,C,Ramp,2,C/min,500,C,Hold,48,hr,500,C,Ramp,2,C/min,0,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230404TA,EXP_H_221219_CV1_CVFP_A1,T1,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230404TA,EXP_H_221219_CV1_CVFP_A1,T2,2,Hold,10,sec,20,C,Ramp,4,C/min,200,C,Hold,0.5,hr,200,C,Ramp,4,C/min,920,C,Hold,2,hr,920,C,Ramp,4,C/min,400,C,Ramp,50,C/min,1,C,End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
