EXP UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_240112_CV1_A2,EXP_H_240112,Heater,CV1,A2,CVHS12-240112,Meas,T1,TC,Generic,2HCVS(203)-1-TC-T2(0),NI,Passive,CV1-TC36,TC36,CV1TC12,T1-TC-T2(0)*,,,,FM
EXP_H_240112_CV1_A2,EXP_H_240112,Heater,CV1,A2,CVHS12-240112,Control,T1,TC,Generic,2HCVS(203)-1-TC-M0(180),NI,Passive,CV1-TC34,TC34,CV1TC14,T1-TC-M0(180)*,,,,FM
EXP_H_240112_CV1_A2,EXP_H_240112,Heater,CV1,A2,CVHS12-240112,Control,T2,TC,Generic,2HCVS(203)-1-TC-M0(180),NI,Passive,CV1-TC34,TC34,CV1TC14,T1-TC-M0(180)*,,,,FM
EXP_H_240112_CV1_A2,EXP_H_240112,Heater,CV1,A2,CVHS12-240112,Process,T1,H,HC6,2HCVS(203)-1,H6-L/N,HC6(HB1/CB1),DAC-HB-SSR-HC6,NI->HC6,H6-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
EXP_H_240112_CV1_A2,EXP_H_240112,Heater,CV1,A2,CVHS12-240112,Process,T2,H,HC7,2HCVS(203)-1,H7-L/N,HC7(HB1/CB1),DAC-HB-SSR-HC7,NI->HC7,H7-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
