EXP UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,T1,TC,TC-K-331,2HC4(103)-1-TC-T(0),NI,Passive,CV2-TC13,TC69,CV2TC13,T1-TC-T(0),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Control,T1,TC,TC-K-330,2HC4(103)-1-TC-M1(180),NI,Passive,CV2-TC11,TC67,CV2TC11,T1-TC-M1(180)*,,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,T1,TC,TC-K-332,2HC4(103)-1-TC-B(0),NI,Passive,CV2-TC15,TC71,CV2TC15,T1-TC-B(0),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,T2,TC,TC-K-381,2HCS(65)-4-TC-T(0),NI,Passive,CV2-TC17,TC73,CV2TC17,T2-TC-T(0),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,T2,TC,TC-K-391,2HCS(65)-4-TC-T(180),NI,Passive,CV2-TC12,TC68,CV2TC12,T2-TC-T(180),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,T2,TC,TC-K-382,2HCS(65)-4-TC-M1(0),NI,Passive,CV2-TC19,TC75,CV2TC19,T2-TC-M1(0),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Control,T2,TC,TC-K-392,2HCS(65)-4-TC-M1(180),NI,Passive,CV2-TC14,TC70,CV2TC14,T2-TC-M1(180)*,,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,B1,TC,TC-K-383,2HC4(103)-2-TC-T(0),NI,Passive,CV2-TC21,TC77,CV2TC21,B1-TC-T(0),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,B1,TC,TC-K-394,2HC4(103)-2-TC-T(180),NI,Passive,CV2-TC16,TC72,CV2TC16,B1-TC-T(180),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,B1,TC,TC-K-384,2HC4(103)-2-TC-M1(0),NI,Passive,CV2-TC23,TC79,CV2TC23,B1-TC-M1(0),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Control,B1,TC,TC-K-395,2HC4(103)-2-TC-M1(180),NI,Passive,CV2-TC18,TC74,CV2TC18,B1-TC-M1(180)*,,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,B1,TC,TC-K-388,2HC4(103)-2-TC-B(0),NI,Passive,CV2-TC25,TC81,CV2TC25,B1-TC-B(0),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Meas,B1,TC,TC-K-398,2HC4(103)-2-TC-B(180),NI,Passive,CV2-TC20,TC76,CV2TC20,B1-TC-B(180),,,,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Process,T1,H,HC9,T1,H1-L/N,HC9(HB5/CB2),DAC-HB-SSR-HC9,NI->HC9,H1-L/N,T1-H-1FC,12,1.5,0.25,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Process,T2,H,HC10,T2,H2-L/N,HC10(HB5/CB2),DAC-HB-SSR-HC10,NI->HC10,H2-L/N,T2-H-2HCL,5,2,0.33,NS
EXP_H_240918_CV2_A1,EXP_H_240918,Heater,CV2,A1,CVHS14-240803,Process,B1,H,HC11,B1,H3-L/N,HC11(HB6/CB2),DAC-HB-SSR-HC11,NI->HC11,H3-L/N,B1-H-2HCL,8,1.5,0.25,NS
